time_vektor,d_15cm,d_30cm,d_50cm,d_100cm,d_200cm
2023-10-20 06:16:23+00:00,9.029,9.700001,10.629001,12.790001,14.27
2023-10-20 07:16:12+00:00,9.02,9.709001,10.629001,12.77,14.290001
2023-10-20 08:16:11+00:00,8.939,9.679001,10.620001,12.759001,14.290001
2023-10-20 09:16:21+00:00,8.919001,9.669001,10.59,12.740001,14.27
2023-10-20 10:16:05+00:00,8.879001,9.589001,10.629001,12.740001,14.300001
2023-10-20 11:16:10+00:00,8.799001,9.529,10.549001,12.72,14.240001
2023-10-20 12:16:15+00:00,8.700001,9.5,10.52,12.72,14.229001
2023-10-20 13:16:04+00:00,8.660001,9.479,10.509001,12.690001,14.229001
2023-10-20 14:16:13+00:00,8.610001,9.450001,10.450001,12.68,14.229001
2023-10-20 15:16:02+00:00,8.570001,9.379001,10.440001,12.669001,14.229001
2023-10-20 16:15:57+00:00,8.450001,9.379001,10.379001,12.650001,14.229001
2023-10-20 17:16:12+00:00,8.429001,9.339001,10.34,12.64,14.229001
2023-10-20 18:15:54+00:00,8.439,9.27,10.34,12.620001,14.209001
2023-10-20 19:16:00+00:00,8.439,9.25,10.309,12.610001,14.209001
2023-10-20 20:16:07+00:00,8.429001,9.229,10.290001,12.59,14.170001
2023-10-20 21:15:49+00:00,8.529,9.25,10.250001,12.570001,14.170001
2023-10-20 22:15:47+00:00,8.580001,9.229,10.229,12.559001,14.190001
2023-10-20 23:15:47+00:00,8.589001,9.290001,10.239,12.540001,14.209001
2023-10-21 00:15:52+00:00,8.700001,9.259001,10.189,12.52,14.160001
2023-10-21 01:15:51+00:00,8.729,9.290001,10.160001,12.490001,14.190001
2023-10-21 02:15:44+00:00,8.759001,9.290001,10.160001,12.47,14.190001
2023-10-21 03:15:45+00:00,8.739,9.330001,10.099001,12.459001,14.200001
2023-10-21 04:17:26+00:00,8.799001,9.339001,10.189,12.43,14.160001
2023-10-21 05:15:43+00:00,8.839001,9.339001,10.169001,12.410001,14.160001
2023-10-21 06:15:57+00:00,8.919001,9.370001,10.160001,12.39,14.160001
2023-10-21 07:15:41+00:00,8.939,9.379001,10.150001,12.379001,14.129001
2023-10-21 08:15:35+00:00,9.009001,9.389001,10.150001,12.349001,14.170001
2023-10-21 09:15:30+00:00,9.129001,9.439,10.129001,12.330001,14.120001
2023-10-21 10:15:34+00:00,9.450001,9.479,10.129001,12.320001,14.120001
2023-10-21 11:15:38+00:00,9.950001,9.620001,10.150001,12.290001,14.129001
2023-10-21 12:17:10+00:00,10.27,9.75,10.22,12.280001,14.120001
2023-10-21 13:18:46+00:00,10.549001,9.919001,10.229,12.27,14.129001
2023-10-21 14:15:38+00:00,10.700001,10.049001,10.229,12.240001,14.090001
2023-10-21 15:15:30+00:00,10.820001,10.200001,10.299001,12.2300005,14.1
2023-10-21 16:15:30+00:00,10.849001,10.360001,10.34,12.209001,14.1
2023-10-21 17:15:40+00:00,10.860001,10.440001,10.410001,12.190001,14.070001
2023-10-21 18:15:39+00:00,10.740001,10.540001,10.4800005,12.18,14.070001
2023-10-21 19:15:29+00:00,10.690001,10.540001,10.549001,12.169001,14.05
2023-10-21 20:15:22+00:00,10.599001,10.52,10.59,12.160001,14.040001
2023-10-21 21:15:22+00:00,10.59,10.580001,10.660001,12.150001,14.030001
2023-10-21 22:15:21+00:00,10.500001,10.559001,10.68,12.14,14.080001
2023-10-21 23:15:20+00:00,10.450001,10.59,10.77,12.129001,14.05
2023-10-22 00:15:20+00:00,10.410001,10.599001,10.750001,12.129001,14.030001
2023-10-22 01:15:19+00:00,10.360001,10.599001,10.77,12.129001,14.05
2023-10-22 02:15:18+00:00,10.309,10.59,10.820001,12.120001,14.030001
2023-10-22 03:15:28+00:00,10.27,10.580001,10.849001,12.120001,14.05
2023-10-22 04:15:17+00:00,10.189,10.530001,10.830001,12.120001,14.009001
2023-10-22 05:15:12+00:00,10.129001,10.540001,10.870001,12.120001,14.009001
2023-10-22 06:16:54+00:00,10.110001,10.4800005,10.89,12.120001,14.030001
2023-10-22 07:16:42+00:00,10.089001,10.500001,10.879001,12.120001,13.990001
2023-10-22 08:15:05+00:00,10.209001,10.490001,10.89,12.110001,14.02
2023-10-22 09:15:09+00:00,10.299001,10.490001,10.910001,12.110001,13.990001
2023-10-22 10:15:09+00:00,10.459001,10.549001,10.879001,12.110001,13.97
2023-10-22 11:15:02+00:00,10.64,10.549001,10.89,12.099001,13.979001
2023-10-22 12:15:14+00:00,10.849001,10.64,10.93,12.099001,13.97
2023-10-22 13:15:01+00:00,10.97,10.740001,10.919001,12.099001,13.97
2023-10-22 14:15:06+00:00,11.09,10.780001,10.940001,12.099001,13.940001
2023-10-22 15:15:00+00:00,11.129001,10.910001,10.950001,12.099001,13.979001
2023-10-22 16:14:59+00:00,11.190001,10.910001,10.9800005,12.09,13.929001
2023-10-22 17:16:37+00:00,11.259001,11.009001,11.02,12.099001,13.950001
2023-10-22 18:14:58+00:00,11.190001,11.02,11.059001,12.09,13.920001
2023-10-22 19:14:57+00:00,11.160001,11.09,11.110001,12.080001,13.950001
2023-10-22 20:14:57+00:00,11.190001,11.120001,11.150001,12.09,13.920001
2023-10-22 21:15:01+00:00,11.14,11.120001,11.160001,12.080001,13.900001
2023-10-22 22:14:55+00:00,11.14,11.129001,11.209001,12.099001,13.920001
2023-10-22 23:14:55+00:00,11.070001,11.150001,11.2300005,12.099001,13.910001
2023-10-23 00:14:49+00:00,11.049001,11.160001,11.240001,12.09,13.870001
2023-10-23 01:16:16+00:00,10.990001,11.14,11.27,12.099001,13.870001
2023-10-23 02:14:58+00:00,10.89,11.14,11.290001,12.099001,13.89
2023-10-23 03:14:52+00:00,10.799001,11.09,11.309001,12.099001,13.879001
2023-10-23 04:15:03+00:00,10.740001,11.09,11.330001,12.099001,13.859
2023-10-23 05:14:41+00:00,10.64,11.070001,11.280001,12.110001,13.879001
2023-10-23 06:14:45+00:00,10.64,11.030001,11.320001,12.099001,13.879001
2023-10-23 07:14:46+00:00,10.660001,11.02,11.34,12.110001,13.830001
2023-10-23 08:14:44+00:00,10.660001,10.9800005,11.34,12.110001,13.85
2023-10-23 09:14:38+00:00,10.700001,10.9800005,11.349001,12.110001,13.840001
2023-10-23 10:14:43+00:00,10.860001,11.009001,11.320001,12.110001,13.840001
2023-10-23 11:14:32+00:00,11.150001,11.030001,11.299001,12.120001,13.840001
2023-10-23 12:14:36+00:00,11.410001,11.099001,11.309001,12.120001,13.830001
2023-10-23 13:14:41+00:00,11.59,11.200001,11.34,12.120001,13.809001
2023-10-23 14:14:40+00:00,11.700001,11.34,11.360001,12.120001,13.8
2023-10-23 15:14:31+00:00,11.77,11.370001,11.34,12.110001,13.820001
2023-10-23 16:14:28+00:00,11.820001,11.47,11.410001,12.120001,13.790001
2023-10-23 17:16:00+00:00,11.84,11.559001,11.410001,12.120001,13.830001
2023-10-23 18:14:32+00:00,11.780001,11.580001,11.47,12.120001,13.809001
